global_step,loss,vram_allocated_bytes,vram_peak_bytes,time_sec,gradient_magnitude
0,4.411846160888672,21056000,53420032,0.09030862798681483,1.1033094446972862
1,4.1899309158325195,21056000,55112704,0.01965638797264546,1.0254584751837448
2,4.0071306228637695,21056000,55112704,0.018059286987408996,0.9194527107064397
3,3.884610652923584,21056000,55112704,0.01771370298229158,0.8399659870414888
4,3.7578840255737305,21056000,55112704,0.016639502020552754,0.8660173481106912
5,3.6713995933532715,21056000,55112704,0.01629451900953427,0.8260836444682294
6,3.6057770252227783,21056000,55112704,0.016302644973620772,0.8183364683302508
7,3.5472970008850098,21056000,55112704,0.016382836969569325,0.7750720776372149
8,3.5297093391418457,21056000,55112704,0.016070685989689082,0.6687993575520143
9,3.462857723236084,21056000,55112704,0.016236460010986775,0.6719245893744829
10,3.4779345989227295,21056000,55112704,0.016889024002011865,0.6035602692986449
11,3.4298603534698486,21056000,55112704,0.016091234982013702,0.5580102189198606
12,3.3430874347686768,21056000,55112704,0.016513082024175674,0.5840723579017725
13,3.3290114402770996,21056000,55112704,0.016409676987677813,0.53059013959459
14,3.2650296688079834,21056000,55112704,0.016176506003830582,0.5872325141389155
15,3.3265082836151123,21056000,55112704,0.016165905981324613,0.45364503955514995
16,3.2877588272094727,21056000,55112704,0.016370152006857097,0.4169748432400677
17,3.305741548538208,21056000,55112704,0.01609303697478026,0.34913268251826496
18,3.2573299407958984,21056000,55112704,0.016433310986030847,0.36600086789475106
19,3.2818400859832764,21056000,55112704,0.016548419022001326,0.27430969784426906
20,3.2152087688446045,21056000,55112704,0.01619093300541863,0.3013768835973197
21,3.1902098655700684,21056000,55112704,0.016158321988768876,0.2938683130154852
22,3.168060064315796,21056000,55112704,0.016768375993706286,0.2931496557341016
23,3.1528122425079346,21056000,55112704,0.016538710973691195,0.2875049635658514
24,3.185347080230713,21056000,55112704,0.01661292096832767,0.32373268328160615
25,3.2378554344177246,21056000,55112704,0.018643651972524822,0.2343496976591673
26,3.1655824184417725,21056000,55112704,0.01764004403958097,0.26123850880163785
27,3.0530271530151367,21056000,55112704,0.017812229983974248,0.3359092558074467
28,3.1172471046447754,21056000,55112704,0.017315961013082415,0.2709703068390845
29,3.137528896331787,21056000,55112704,0.0174662449862808,0.2538150087016709
30,3.1761367321014404,21056000,55112704,0.017862174019683152,0.2749190222313924
