global_step,loss,ortho_loss,total_loss,vram_allocated_bytes,vram_peak_bytes,time_sec,gradient_magnitude
0,4.411846160888672,0.027748752385377884,4.414620876312256,22105600,54535168,0.12872700404841453,1.1033807443779688
1,4.189984321594238,0.026466229930520058,4.192630767822266,22105600,56227840,0.021580778004135936,1.0255829025494927
2,4.007200717926025,0.025403935462236404,4.009741306304932,22105600,56227840,0.019349812995642424,0.9196449787444466
3,3.8847265243530273,0.024216681718826294,3.887148141860962,22105600,56227840,0.018983962014317513,0.8400605337187352
4,3.758007049560547,0.022826654836535454,3.7602896690368652,22105600,56227840,0.01961268001468852,0.8660674411374858
5,3.6715376377105713,0.02135017327964306,3.673672676086426,22105600,56227840,0.01894864602945745,0.826147738260088
6,3.605907917022705,0.019773434847593307,3.6078853607177734,22105600,56227840,0.01956900698132813,0.8183547054232339
7,3.5474212169647217,0.018118426203727722,3.5492329597473145,22105600,56227840,0.019630652968771756,0.7751600064210148
8,3.529820442199707,0.016281165182590485,3.5314486026763916,22105600,56227840,0.019091615977231413,0.6689930519859294
9,3.4630038738250732,0.014723565429449081,3.4644763469696045,22105600,56227840,0.019479338021483272,0.6721049215815369
10,3.4779648780822754,0.013364467769861221,3.4793012142181396,22105600,56227840,0.018871770007535815,0.6036540937709634
11,3.429875612258911,0.012042568996548653,3.431079864501953,22105600,56227840,0.019534823019057512,0.558106382389391
12,3.343130588531494,0.010934019461274147,3.344223976135254,22105600,56227840,0.019284390029497445,0.5842151652067358
13,3.3290505409240723,0.00966358557343483,3.330016851425171,22105600,56227840,0.019277506042271852,0.530861578815101
14,3.264979839324951,0.008322607725858688,3.2658121585845947,22105600,56227840,0.019313543976750225,0.5873620817306373
15,3.3265023231506348,0.006950841750949621,3.327197313308716,22105600,56227840,0.019426989019848406,0.4540312077769992
16,3.2877519130706787,0.005700814072042704,3.2883219718933105,22105600,56227840,0.019570550008211285,0.41749535754470374
17,3.305711269378662,0.00520747434347868,3.30623197555542,22105600,56227840,0.019882911001332104,0.34963639545311676
18,3.257342576980591,0.004939630627632141,3.2578365802764893,22105600,56227840,0.019406600040383637,0.3664156730718687
19,3.281796932220459,0.004600937478244305,3.282257080078125,22105600,56227840,0.01958144101081416,0.27455940249623983
20,3.2152023315429688,0.004477261565625668,3.2156500816345215,22105600,56227840,0.019074122013989836,0.3015277199365983
21,3.190192461013794,0.0044340044260025024,3.190635919570923,22105600,56227840,0.019272717996500432,0.29403873570060685
22,3.1680479049682617,0.004449470899999142,3.1684927940368652,22105600,56227840,0.01923460600664839,0.2932200947989655
23,3.152841567993164,0.00431023258715868,3.1532726287841797,22105600,56227840,0.018898661015555263,0.28755033569084215
24,3.1854865550994873,0.004070359747856855,3.1858935356140137,22105600,56227840,0.02050178899662569,0.32386318823547156
25,3.23799467086792,0.0037966787349432707,3.2383742332458496,22105600,56227840,0.020259842043742537,0.23449937160833825
26,3.1657752990722656,0.0036105746403336525,3.1661362648010254,22105600,56227840,0.019463257980532944,0.26146777935349375
27,3.0532097816467285,0.00333960447460413,3.05354380607605,22105600,56227840,0.019082988961599767,0.33558799173467674
28,3.1174840927124023,0.0030671791173517704,3.117790699005127,22105600,56227840,0.019065677013713866,0.2709061889090985
29,3.137890100479126,0.0027732262387871742,3.138167381286621,22105600,56227840,0.01897877297597006,0.25415895154044316
30,3.17645263671875,0.0026201866567134857,3.1767146587371826,22105600,56227840,0.01923259097384289,0.27514258923123763
31,3.1079745292663574,0.0025939918123185635,3.10823392868042,22105600,56227840,0.01914334303000942,0.28858915997657736
32,3.0392510890960693,0.002474061446264386,3.0394985675811768,22105600,56227840,0.01914361398667097,0.28690038123287875
33,3.027959108352661,0.0021285624243319035,3.028172016143799,22105600,56227840,0.018580559990368783,0.28056527495107025
34,3.014130115509033,0.0019988026469945908,3.0143299102783203,22105600,56227840,0.019032804004382342,0.3227971650693936
35,3.0672264099121094,0.0018204220104962587,3.067408561706543,22105600,56227840,0.01909033302217722,0.30496154717060675
36,2.974980354309082,0.0014900707174092531,2.9751293659210205,22105600,56227840,0.01892287697410211,0.3473364863457131
37,2.9313573837280273,0.0014239358715713024,2.931499719619751,22105600,56227840,0.018882980977650732,0.34507409199168065
38,2.9297807216644287,0.001534014823846519,2.929934024810791,22105600,56227840,0.019037763006053865,0.31409128397590846
39,2.9247517585754395,0.0014402598608285189,2.924895763397217,22105600,56227840,0.019128916028421372,0.3185090133916703
40,3.0045509338378906,0.0012627417454496026,3.0046772956848145,22105600,56227840,0.019073891977313906,0.2895789928084025
41,2.9624791145324707,0.0013014879077672958,2.96260929107666,22105600,56227840,0.01908438198734075,0.3036346560202005
42,2.959416389465332,0.0013573667965829372,2.959552049636841,22105600,56227840,0.018796628050040454,0.2685460653370529
43,2.8294782638549805,0.0013744165189564228,2.829615592956543,22105600,56227840,0.019399987999349833,0.3261451485397084
44,2.920740842819214,0.001356036402285099,2.9208765029907227,22105600,56227840,0.018598744994960725,0.2719399099785575
45,2.851029634475708,0.0011963953729718924,2.851149320602417,22105600,56227840,0.018982078006956726,0.317898823561942
46,2.8724873065948486,0.0011555104283615947,2.872602939605713,22105600,56227840,0.018635593994986266,0.31599207753314207
47,2.9198031425476074,0.001130511169321835,2.9199161529541016,22105600,56227840,0.019562194996979088,0.2824177966601766
48,2.8029820919036865,0.0010189609602093697,2.803083896636963,22105600,56227840,0.019480409973766655,0.28303155284819154
