global_step,loss,ortho_loss,total_loss,lambda_weight,vram_allocated_bytes,vram_peak_bytes,time_sec,gradient_magnitude
0,4.356106758117676,0.18118491768836975,4.356106758117676,0.0,22957568,55993344,0.1514466879889369,1.438757236433925
1,4.129909515380859,0.18642033636569977,4.129946708679199,0.0002,22957568,57587712,0.021055981051176786,1.1565999635571438
2,3.937483072280884,0.1912471055984497,3.9375596046447754,0.0004,22957568,57587712,0.01961215300252661,1.0334827768086658
3,3.8160314559936523,0.2045692801475525,3.8161542415618896,0.0006000000000000001,22957568,57587712,0.019664010033011436,0.9174691681863817
4,3.7174887657165527,0.22250714898109436,3.7176668643951416,0.0008,22957568,57587712,0.01947140000993386,0.8633891054049389
5,3.6500439643859863,0.24613885581493378,3.650290012359619,0.001,22957568,57587712,0.01926246000220999,0.7836209931579444
6,3.5801658630371094,0.2647618055343628,3.5804836750030518,0.0012000000000000001,22957568,57587712,0.019319155951961875,0.7498429251711706
7,3.509535074234009,0.28647544980049133,3.5099360942840576,0.0014000000000000002,22957568,57587712,0.019531783007550985,0.7417404692384607
8,3.562753915786743,0.3009675145149231,3.5632355213165283,0.0016,22957568,57587712,0.01949336100369692,0.5750854448577598
9,3.4805679321289062,0.31787192821502686,3.48114013671875,0.0018,22957568,57587712,0.01990799600025639,0.5965918096320664
10,3.5520827770233154,0.33166080713272095,3.552746057510376,0.002,22957568,57587712,0.019926390959881246,0.5270768188721109
11,3.4017553329467773,0.346676766872406,3.4025180339813232,0.0022,22957568,57587712,0.019172322005033493,0.5617376298618261
12,3.41190505027771,0.3553064465522766,3.4127578735351562,0.0024000000000000002,22957568,57587712,0.019536963023710996,0.4707140515212958
13,3.326988697052002,0.3643488883972168,3.3279359340667725,0.0026,22957568,57587712,0.01954129000660032,0.5129772777795554
14,3.3247387409210205,0.3702402114868164,3.325775384902954,0.0028000000000000004,22957568,57587712,0.019576427002903074,0.43254097787578005
15,3.3163633346557617,0.377241313457489,3.317495107650757,0.003,22957568,57587712,0.01947619899874553,0.45409523051525147
16,3.3602113723754883,0.38045650720596313,3.361428737640381,0.0032,22957568,57587712,0.019141454016789794,0.35189738610033083
17,3.3599793910980225,0.379861444234848,3.3612709045410156,0.0034000000000000002,22957568,57587712,0.019421897013671696,0.3361571474769135
18,3.3253798484802246,0.376552939414978,3.326735496520996,0.0036,22957568,57587712,0.019188230973668396,0.32862832314611873
19,3.332634449005127,0.3740065395832062,3.3340556621551514,0.0038,22957568,57587712,0.019632139999885112,0.27452192659304475
20,3.313560724258423,0.3698466122150421,3.315040111541748,0.004,22957568,57587712,0.01944640401052311,0.2746466372463957
21,3.259317398071289,0.36097222566604614,3.260833501815796,0.004200000000000001,22957568,57587712,0.019125644001178443,0.3136217165222309
22,3.3019957542419434,0.3545033931732178,3.303555488586426,0.0044,22957568,57587712,0.019198450027033687,0.30138218999226796
23,3.2229819297790527,0.3518218994140625,3.224600315093994,0.0046,22957568,57587712,0.01987359201302752,0.29691410470935836
24,3.209695816040039,0.3423064053058624,3.211338996887207,0.0048000000000000004,22957568,57587712,0.019304847985040396,0.28037362383145054
25,3.2259984016418457,0.32522475719451904,3.2276244163513184,0.005000000000000001,22957568,57587712,0.019871226977556944,0.2774098017913355
26,3.2355685234069824,0.3186924159526825,3.2372257709503174,0.0052,22957568,57587712,0.0190425890032202,0.2557386808248175
27,3.321507692337036,0.30412235856056213,3.3231499195098877,0.0054,22957568,57587712,0.019150188949424773,0.3050678612194059
28,3.141244888305664,0.2884441614151001,3.142860174179077,0.005600000000000001,22957568,57587712,0.019249976030550897,0.2647336322534237
29,3.2397971153259277,0.27671200037002563,3.2414021492004395,0.0058000000000000005,22957568,57587712,0.02023963601095602,0.28656839665550604
30,3.168872594833374,0.2608960270881653,3.170438051223755,0.006,22957568,57587712,0.020455589052289724,0.3020487215673694
31,3.1379730701446533,0.25207000970840454,3.139535903930664,0.006200000000000001,22957568,57587712,0.02000878402031958,0.28766346085409394
32,3.1970221996307373,0.23277461528778076,3.198511838912964,0.0064,22957568,57587712,0.019524599018041044,0.274622545496496
33,3.157081127166748,0.22295062243938446,3.158552646636963,0.006600000000000001,22957568,57587712,0.019390679022762924,0.33578268929149924
34,3.174978256225586,0.20743586122989655,3.176388740539551,0.0068000000000000005,22957568,57587712,0.019396819989196956,0.28619812837385633
35,3.124633312225342,0.19760604202747345,3.126016616821289,0.007000000000000001,22957568,57587712,0.019426826969720423,0.2919296041378534
36,3.0625722408294678,0.19088003039360046,3.063946485519409,0.0072,22957568,57587712,0.019192118023056537,0.3401049272298981
37,3.047382354736328,0.18588382005691528,3.048757791519165,0.0074,22957568,57587712,0.019133799010887742,0.3298730339633583
38,3.066324472427368,0.1801062822341919,3.0676932334899902,0.0076,22957568,57587712,0.019282396999187768,0.30435081073167974
39,3.0849990844726562,0.1820598989725113,3.086419105529785,0.0078000000000000005,22957568,57587712,0.0190086750080809,0.2588053470912663
40,3.056698799133301,0.18591326475143433,3.0581860542297363,0.008,22957568,57587712,0.02015220298198983,0.3215105131339318
41,3.0620169639587402,0.1837984323501587,3.063524007797241,0.0082,22957568,57587712,0.019285202026367188,0.3043068314860695
42,2.979336977005005,0.18533535301685333,2.980893850326538,0.008400000000000001,22957568,57587712,0.019273540005087852,0.32733272439158934
43,3.0469157695770264,0.1825234740972519,3.048485517501831,0.0086,22957568,57587712,0.019838255015201867,0.2869895122240844
44,2.9404566287994385,0.17952024936676025,2.9420363903045654,0.0088,22957568,57587712,0.019639554957393557,0.38376179752185474
45,2.986107110977173,0.18440145254135132,2.987766742706299,0.009,22957568,57587712,0.019639534992165864,0.29555045615216957
46,2.8972110748291016,0.1854712814092636,2.8989174365997314,0.0092,22957568,57587712,0.019350985006894916,0.30473314914586713
47,2.924893617630005,0.18112173676490784,2.926596164703369,0.0094,22957568,57587712,0.0193698100047186,0.28159534489839205
48,2.942258834838867,0.1903132200241089,2.9440858364105225,0.009600000000000001,22957568,57587712,0.01933630701387301,0.30152831553498377
49,2.9497134685516357,0.1844266951084137,2.9515209197998047,0.009800000000000001,22957568,57587712,0.01908281398937106,0.28513348631701024
50,3.0011613368988037,0.18171943724155426,3.002978563308716,0.010000000000000002,22957568,57587712,0.01958681602263823,0.33189222164790194
51,2.876978874206543,0.17812910676002502,2.878795862197876,0.0102,22957568,57587712,0.01887618802720681,0.37570868477133934
52,2.9341189861297607,0.17803797125816345,2.9359705448150635,0.0104,22957568,57587712,0.019416838011238724,0.274057960545228
53,2.8663716316223145,0.1783866286277771,2.868262529373169,0.0106,22957568,57587712,0.01924019801663235,0.31472576212920894
54,2.8777503967285156,0.17270630598068237,2.879615545272827,0.0108,22957568,57587712,0.01898830704158172,0.2969690971604892
55,2.9170219898223877,0.17258311808109283,2.9189205169677734,0.011000000000000001,22957568,57587712,0.02074545098003,0.2726410276124992
56,2.8613100051879883,0.16942322254180908,2.8632075786590576,0.011200000000000002,22957568,57587712,0.019361735961865634,0.3511236816055155
57,2.897001028060913,0.1697436273097992,2.8989360332489014,0.0114,22957568,57587712,0.019351235998328775,0.33835600890038936
58,2.821810245513916,0.1695573478937149,2.823777198791504,0.011600000000000001,22957568,57587712,0.019507156976033002,0.3236377986058454
59,2.8505613803863525,0.1736547201871872,2.8526105880737305,0.0118,22957568,57587712,0.01925800199387595,0.40315320345630323
60,2.7706499099731445,0.1748446226119995,2.7727479934692383,0.012,22957568,57587712,0.019483241951093078,0.3681596054295136
61,2.7220866680145264,0.17344897985458374,2.7242026329040527,0.0122,22957568,57587712,0.019312372955027968,0.26520551561762407
62,2.7553346157073975,0.17243561148643494,2.7574727535247803,0.012400000000000001,22957568,57587712,0.01932701002806425,0.46775443936770983
63,2.772991418838501,0.172520250082016,2.77516508102417,0.0126,22957568,57587712,0.019579301995690912,0.31927337264320177
64,2.716905117034912,0.17663806676864624,2.7191660404205322,0.0128,22957568,57587712,0.019135822949465364,0.2709318053658573
65,2.7140557765960693,0.1795300394296646,2.7163896560668945,0.013000000000000001,22957568,57587712,0.019189573009498417,0.5092504075051848
66,2.820382595062256,0.17539601027965546,2.822697877883911,0.013200000000000002,22957568,57587712,0.02000298403436318,0.3228561610048863
67,2.7298715114593506,0.174644336104393,2.7322118282318115,0.013400000000000002,22957568,57587712,0.019323995045851916,0.3008226922980874
68,2.759946346282959,0.17409759759902954,2.7623140811920166,0.013600000000000001,22957568,57587712,0.019565074995625764,0.36841666382280525
69,2.7177929878234863,0.16912667453289032,2.7201268672943115,0.013800000000000002,22957568,57587712,0.01928674499504268,0.42591917004753066
70,2.673090934753418,0.1685582548379898,2.6754508018493652,0.014000000000000002,22957568,57587712,0.02006184298079461,0.36405853640586594
71,2.7235982418060303,0.1752495914697647,2.7260868549346924,0.014199999999999999,22957568,57587712,0.020106506999582052,0.38523661106494406
72,2.7422385215759277,0.17504215240478516,2.7447590827941895,0.0144,22957568,57587712,0.020256448013242334,0.39326052269836154
73,2.65637469291687,0.16735883057117462,2.658818244934082,0.0146,22957568,57587712,0.020161909982562065,0.3056830417573379
74,2.6850807666778564,0.1640474498271942,2.6875085830688477,0.0148,22957568,57587712,0.020187078043818474,0.25480945350514733
75,2.647233724594116,0.1635407954454422,2.649686813354492,0.015,22957568,57587712,0.019619476981461048,0.33391555669590595
76,2.7251527309417725,0.1673939973115921,2.7276971340179443,0.0152,22957568,57587712,0.019436746020801365,0.2912757431098644
77,2.674307107925415,0.16497653722763062,2.6768476963043213,0.0154,22957568,57587712,0.01920660596806556,0.269726000528996
78,2.6619174480438232,0.1647680401802063,2.664487838745117,0.015600000000000001,22957568,57587712,0.019450011022854596,0.3008582226007289
79,2.683239221572876,0.16529545187950134,2.6858508586883545,0.0158,22957568,57587712,0.019347108027432114,0.3696141677508886
80,2.702230215072632,0.16748523712158203,2.7049100399017334,0.016,22957568,57587712,0.01932051801122725,0.30419508692764974
81,2.605421304702759,0.16787174344062805,2.6081409454345703,0.016200000000000003,22957568,57587712,0.01957224798388779,0.28670114037580896
82,2.633859157562256,0.1671532839536667,2.6366004943847656,0.0164,22957568,57587712,0.02000894397497177,0.27973621375930413
83,2.6682982444763184,0.1664535105228424,2.6710612773895264,0.0166,22957568,57587712,0.01966951001668349,0.2875171409790773
84,2.6291685104370117,0.16573406755924225,2.6319527626037598,0.016800000000000002,22957568,57587712,0.01950573397334665,0.3638395990041384
85,2.6388888359069824,0.16572481393814087,2.6417062282562256,0.017,22957568,57587712,0.019794614985585213,0.3709972269864504
86,2.687265396118164,0.16766908764839172,2.6901493072509766,0.0172,22957568,57587712,0.019494433014187962,0.30910494851577475
87,2.6109955310821533,0.16650405526161194,2.6138927936553955,0.0174,22957568,57587712,0.019483321986626834,0.3033638904631209
88,2.628347158432007,0.1656392514705658,2.6312623023986816,0.0176,22957568,57587712,0.01974581298418343,0.3468959179795765
89,2.5894086360931396,0.16530737280845642,2.592351198196411,0.0178,22957568,57587712,0.019143407000228763,0.2998258586373131
90,2.645812749862671,0.16648884117603302,2.6488094329833984,0.018,22957568,57587712,0.019596743979491293,0.3826806278157968
91,2.5979063510894775,0.16132399439811707,2.6008424758911133,0.0182,22957568,57587712,0.019545518967788666,0.35427997487445817
92,2.531726121902466,0.16054826974868774,2.534680128097534,0.0184,22957568,57587712,0.019338281999807805,0.3759417721087677
93,2.6094183921813965,0.16869041323661804,2.612555980682373,0.018600000000000002,22957568,57587712,0.019453245971817523,0.3054918834007111
94,2.6578152179718018,0.16585907340049744,2.660933256149292,0.0188,22957568,57587712,0.020619034999981523,0.30971640100163156
95,2.591433525085449,0.16254252195358276,2.5945217609405518,0.019000000000000003,22957568,57587712,0.02020118397194892,0.2602125449642594
96,2.6169393062591553,0.1640481799840927,2.620089054107666,0.019200000000000002,22957568,57587712,0.021637758996803313,0.29340976228195287
97,2.580798625946045,0.16537857055664062,2.5840070247650146,0.0194,22957568,57587712,0.019556790008209646,0.3203671063600898
98,2.6094136238098145,0.16278831660747528,2.6126043796539307,0.019600000000000003,22957568,57587712,0.019510533020365983,0.3294075596189023
99,2.570467233657837,0.16191215813159943,2.5736730098724365,0.0198,22957568,57587712,0.019092000962700695,0.31231690559791736
100,2.557880401611328,0.16162720322608948,2.561112880706787,0.020000000000000004,22957568,57587712,0.022017679002601653,0.3641325982412185
101,2.555148124694824,0.16277766227722168,2.558436155319214,0.020200000000000003,22957568,57587712,0.021022528992034495,0.32687711225235094
102,2.5995583534240723,0.15836380422115326,2.6027889251708984,0.0204,22957568,57587712,0.019705978978890926,0.3635840153523762
103,2.5812196731567383,0.16204354166984558,2.5845577716827393,0.0206,22957568,57587712,0.0196902189636603,0.39643230126782253
104,2.5096993446350098,0.1596193164587021,2.513019323348999,0.0208,22957568,57587712,0.01966129499487579,0.3438637407382365
105,2.561910390853882,0.1560690551996231,2.565187931060791,0.021,22957568,57587712,0.020477160986047238,0.3519502418023222
106,2.542555809020996,0.15329957008361816,2.5458056926727295,0.0212,22957568,57587712,0.01928282802691683,0.27045813425242193
107,2.555677890777588,0.15312916040420532,2.558954954147339,0.021400000000000002,22957568,57587712,0.019616050994955003,0.30185442813938684
108,2.5515055656433105,0.1535814106464386,2.5548229217529297,0.0216,22957568,57587712,0.019606674031820148,0.3200885381905088
109,2.5466513633728027,0.1501709520816803,2.5499250888824463,0.0218,22957568,57587712,0.019184464996214956,0.3165231191686515
110,2.4939467906951904,0.15032127499580383,2.497253894805908,0.022000000000000002,22957568,57587712,0.01941432402236387,0.27886025862128727
111,2.4691355228424072,0.14634031057357788,2.472384214401245,0.0222,22957568,57587712,0.019263060996308923,0.35792073963055737
112,2.495190382003784,0.1474227011203766,2.49849271774292,0.022400000000000003,22957568,57587712,0.019133739988319576,0.3136475547122306
113,2.4902799129486084,0.15227702260017395,2.4937214851379395,0.022600000000000002,22957568,57587712,0.019461923046037555,0.4319581609933864
114,2.568025588989258,0.14815084636211395,2.5714035034179688,0.0228,22957568,57587712,0.019185106037184596,0.33712149522688273
115,2.511591672897339,0.14957642555236816,2.5150318145751953,0.023000000000000003,22957568,57587712,0.019344692991580814,0.336884304084495
116,2.5481624603271484,0.14622239768505096,2.5515549182891846,0.023200000000000002,22957568,57587712,0.01941681798780337,0.30828839918057743
117,2.5273635387420654,0.14518260955810547,2.5307607650756836,0.023400000000000004,22957568,57587712,0.019010129035450518,0.33902529554885463
118,2.5398383140563965,0.14693602919578552,2.5433061122894287,0.0236,22957568,57587712,0.019293337012641132,0.4605351479220377
